ID,Description,Theme,Priority,Acceptance Criteria,Business Value,Predecessor ID,Successor ID,Sprint,Estimates,Actuals,Remaining,Status,Notes
1,Definir la tecnología e infraestructura requerida para la BD espacial de producción,"S1 -> Arquitectura y Diseño de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Permita ampliación/disminución de recursos tecnológicos (memoria, disco duro, procesamiento)
3. Cumpla con criterios de seguridad
4. Disponible dentro de la VPN de Enel
5. Documento con especificaciones técnicas (validación con Andrea)

","Alta disponibilidad de la información, escalabilidad, seguridad,",,"2,3",S1,3,3,0,Completed,
2,BD espacial dentro de una estructura corporativa (en ambiente de desarrollo),"S1 -> Arquitectura y Diseño de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1.La información no debe ocupar espacio local
2. Debe aceptar múltiples conexiones  de forma concurrente
3.No debe depender del software de visualización
4. La BD debe permitir el ingreso de información nueva (schemas, tablas, registros)
5. Open source (postgres)
3. Cumpla con criterios de seguridad","Información centralizada, estandarizada, validada Permite integración con otros sistemas de la compañía, 
Información de calidad para toma de decisiones
",1,,S1,3,3,0,Completed,
3,Me gustaría tener una definición de roles y responsabilidades de la administración de BD,"S1 -> Arquitectura y Diseño de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1.Definición de los grupos de usuarios (roles) (permisos y operaciones permitidas (CURD))
2. Matriz de cruce de roles contra las operaciones
3. Roles creados en base de datos","Segregación de funciones
Seguridad
Trazabilidad de la información
Esquema de gobierno",1,,S1,3,3,0,Completed,
4,Revisión basada en estandares de NTC (4 revisiones ) de la información base entregada,"S1 -> Arquitectura y Diseño de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Informe de estado de la información entregada
2. Propuesta de información objetivo
3. Plan de entrega de información ","Visión del estado actual de la información de Enel, y un concepto del futuro de la información corporativa",,,S1,5,5,0,Completed,
5,"Queremos un diseño de un modelo de datos geográfica, estandarizado, que cumpla con las necesidades de información de Enel ","S1 -> Arquitectura y Diseño de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1.Informe de arquitectura 
      Modelo de datos (diagrama)
      Diseño Catalogo de objetos (explicación de cada Objeto) versión 1
      Diseño Diccionario de datos V1 
      Diseño de Metadatos
Queremos tener un espacio para guardar información 
Básica
Temporal
Proyectos 
Temática","Estructuración de la información, estandarización",4,,S1,5,5,0,Completed,"Se acepta el cambio de la historia de usuario: retirar alcance de la historia de usuario 5, el diseño de metadatos.
Tabla de contenido, glosario, descripción breve de la norma, nombre (Base de datos espacial de Energy Management), marcadores con los títulos. Entregar en word para tener control de cambios."
6,La BD debe permitir la carga de información de tipo Raster,"S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Tomando un archivo raster se agrega con comandos de Postgis para subirlo a la BD
2. Prueba exitosa
3. Recomendación de tamaño máximo de raster  (en MB)",Información disponible para cualquier geografía,27,,S2,9,,9,Backlog," -depende del ambiente de desarrollo
- y el tamaño del raster de prueba
- depende de Historia No. 2"
7,Implementación de recomendaciones del informe de calidad,"S2 -> Implementación de Modelo y Diccionario de datos, catalogo de objetos y metadatos ",Must Have,"1. Información cargada con estándares establecidos
2. Información secundaria de interes",Estandarización de la información,4,,S2,8,,8,Removed,"Esta debe reformularse en varias historias de usuario
-Definición del modelo de Metadatos 
-Filtrado de información
-Definición de información a incluir en la base
-Revisión de calidad de la información
- plan de integración (carga de la información)"
8,"Los usuarios podrán realizar operaciones de lectura directamente sobre la base de datos. Las operaciones CUD (create, Update, Delete) se realizarán a través de un servicio ",S3 -> Carga de información  en la  Geo-database,Must Have,"1. Definición de roles
2. Basado en los servicios de  realizar una prueba de servicios Delete, Create, Update sobre la BD.
3. Servicios CRUD definidos. 6 CRUD raster/vectorial, agregados e implementados ",,,,S3,0,,0,Backlog,
9,Quisiéramos tener dentro de la información base el DEM 12.5 de nuestras cuencas y otras de interés,S3 -> Carga de información  en la  Geo-database,Nice To Have,"1.
2.
3.",,,,S3,3,,3,Backlog,
10,"Nos gustaria tener en la BD el procesamiento hidrologico de los DEM de 30 y 90m de toda Colombia
Equipo de Recursos",S3 -> Carga de información  en la  Geo-database,Por Definir,"1.
2.
3.",,,,S3,0,,0,Backlog,
